entry,yazar,tarih,entry_id
"""tereyağı armut"" diye satar bunu manavlar, seyyarlar, pazarcılar. dilimlerken bıçağın tereyağındaki rahatlıkta kaydığını, hiç zorluk çıkartmadığını düşünürüz. bu da, armutun olgun, yumuşak ve lezzetli olduğunu çağrıştırır haliyle. karpuz için de ""kurabiye"" benzetmesi vardır buna benzer. yani kurabiye gibi sert, kütür kütür fakat ağza atınca hemen yumuşayıp dağılan bir yapısal benzetmedir. neyse, konumuz armut. peki, reklama kanarak aldığımız armutun kütük gibi sert çıkması halinde ne yapmak gerekir? sizi bilemem ama ben ne yaptığımı gayet iyi hatırlıyorum.

efenim, pazardan aldığım birbirinden güzel, kocaman iki adet armutu önce bir güzel dilimledim. aslında hakkını yemeyeyim, armutlar gayet de olgun ve lezzetliydiler lakin ""tereyağı armut"" tamlaması beynimde o kadar yer etmiş ki illa da tereyağı yumuşaklığına ulaşmak istiyorum. dilimlediğim armutları genişçe bir tabağa koyup sehpaya bıraktım. yanına da tuzsuz halis tereyağı... evet, genişçe kestiğim dilimlerin üzerine tereyağını bir güzel sürüp afiyetle yedim. beklediğim lezzeti bulamadığımı ilk ısırıkta farketmiş olsam da o lezzete hiç bir zaman ulaşamayacağımı kabullenmem, birinci armutun bitmesine kadar mümkün olmadı. ikinci armutu yağsız yedim, güzeldi.  

ana fikir: masaldaki aşkı yaşayamayacağını kabullenip mahalledeki münasip bi kızla izdivaç etmek de sanırım bu ruh haline çok benzemektedir. masal aşkı olamayacağını kabullenebiliyorsan, bulduğun aşkı da masallardakine benzetmeye kalkma, tadını bozarsın...

(sonlara doğru kendimi kaybetmişim, ciddiye almayın)",atkuyruklukertenkele,2005-08-13,8013077
"hababam sınıfında inek şabanın balık yerine çizmek istediği meyve.

- güdükçüğüm; ben balık çizmesem, armut çizsem olur mu?",hanneman,2005-09-25,8256637
hasta midelerin dostu,oric,2005-10-23,8415316
"çürüğü, eziği sağlamından ve sertinden daha leziz olan bir cins meyve.",jlborges,2005-12-22,8764724
"bir yerlerde okumuştum, gürcülerin kutsal saydığı meyvedir. gerçekten de kafkasya dolaylarında bunların yüzlerce çeşidi bulunur, hatta artvin'in gürcü ağırlıklı yerlerinde ""armut"" derseniz kimse ne kastettiğinizi anlamaz, zira o bir sürü armut çeşidinden her birinin ayrı bir adı vardır -pek tabii gürcüce- ve oralarda yaşayanların bunları nasıl tek tek bildiğine şaşar kalırsınız. ayrıca belirli armut türlerini kocaman taş fırınlarda pişirip kuruturlar ve kışın yerler, furunç diyorlar sanırsam, leziz olur.",geven,2005-12-22,8765111
(bkz: armut tatlisi),chileksuyu,2006-10-17,10163366
kel mahmut'un #2 arkadasi.,son of a gunn,2007-01-18,10486971
"allahın kanadağında herhangi bir süpermarkete girdiğinizde en aşağı sekiz çeşidini göreceğiniz meyvedir. ha, ülkemin alakasız bir arka bahçesinin bol killi kiremitli toprağında yetişen armut ağacının oracıkta koparılmış armudunun iştahlı bir ısırığına değişilir mi? asla.",shab,2007-01-18,10486988
harflerinden murat isminin yazılabilmesi nedeni ile murat isimli arkadaşlara armut diyebilme hakkını veren sulu meyve,one angryman,2007-01-18,10487692
(bkz: santa maria),requiem,2007-08-02,11092059
"karides ile beraber makarnaya sos olabilen meyve imis. her ne kadar kotu gelse de kulaga , mukemmel bir uyum icerisindeler",kornish,2007-09-09,11189721
"insana sigarayı bıraktırabilecek hatta bıraktırabilen bir meyve...
1 paket sigara parasına 1.5 kilo armut alıp yiyorum hergün. hem öksürmüyorum artık...",neurotic disaster,2007-11-04,11356538
"yedinci nesil kardeş. hayatı çekilir kılan fevkalbeşer.` : swh` nesli tükenmekte olan erkek modeli. 
evinin kapısını bilumum aç ve çulsuza ardına kadar açan yüce insan.
çok severim kendisini, babasını da severdim.",senorita,2007-11-07,11491898
"elin toplamadığı meyve.
(bkz: elin armut mu topluyor)",ruhi,2007-11-07,11492160
"armut piş ağzıma düş
armutun iyisini ayılar yer
.....
gibi atasözlerine konu olan, tatlı bir meyve türüdür.",actinopoda,2007-11-07,11493120
"sportif, tatlı kişilik. tool sever. seneler sonra aynı müzikten bahsedeceğimi hiç tahmin etmediğim yazar, ilkokul arkadaşım. hoşgelmiş.",rague,2007-11-26,11805920
"herkesin çok sevdiği bir insandır, fakat babasını bütün arkadaşları daha fazla sever sanırım hatta sevmekle kalmazlar idol olarak benimserler, zira bir fenomendir bu arkadaşın babası.",mcdermott,2007-12-12,11964827
"penguen adlı mizah dergisinden uykusuz'a transfer olan tembel cizer memo mahlaslı cizerin, cizgi dizi ve karikatürlerinde sıkca kullandıgı meyve. cizdigi kö$enin adı da söz konusu meyvenin cogul eki almı$ halidir.   (bkz: armutlar)",yule,2007-12-23,12077357
"içinde şıkır şıkır türlü türlü maddeler ihtiva eden(kum, çakıl, talaş, köpük, artık her ne ise) rengarek, tabanı yere yakın yeni nesil oturaklar. minder gibi değişik bir şey. ne bileyim tanımlayamadım. armut işte. oturması ayrı, uzanıp içeceği alması ayrı, kalkması apayrı spor oluyor.",beni bana sor,2008-01-29,12424859
"elma karşısında her zaman ezik kalmış bir meyvedir. sürekli birlikte anılmalarına rağmen, elmanın daha popüler olması nedeniyle de kendisine karşı içimde hep bir sempati beslemiş, daha çok tüketmeye dikkat etmişimdir.",piccadilly,2008-02-29,12722238
(bkz: pyrus communis),jazzgrr,2008-04-10,13040292
"müstesna bir meyvedir elmanın yanında hep üvey evlat muamelesi görse de daha iyilerine layıktır. nefis bir örneği için:

http://farm1.static.flickr.com/…7009_a197833e66.jpg",haggard,2008-08-04,13761111
"bu aralar fana halde dilime doladigim kelime. biri kizdirdiginda, ya da bir baskasiyla dalga gecmek istendiginde, baska biri sacmaladiginda veya, rahatlikla kullanilir. her duruma cuk diye oturur, e telaffuzu da kolay, daha ne olsun.

simdi hep beraber cumle icinde kullanalim:
+armut musun sen ya!
+armut armut hareket etme!
+ahahahaha armuta bak!

boyle gider bu.",sphinxlike,2008-08-20,13860699
"alm. fakirlik

make poverty history tarzi bi kampanyanin alman versiyonunda billboardun birinde denk gelmi$tim,
gegen die armut ... falan filan bi$iler yaziyordu.

ulan ne derdiniz var mis gibi meyveyle diye icimden gecirmedim degil.
sonra sozluge baktik ogrendik anlamini bizim sozlukte eksik olmasin istedim.",ctrleng,2008-09-03,13935274
"öncelikle (bkz: #13935274)

lan ben de diyorum neden züğürt geziyorum yıllardır, nikimiz falsoymuş meğersem.  kara bahtım kem talihim bunu uygun görmüş bize. ama kabahat bende asıl, seçmedik ki kendimize şöyle dragonslayer olsun darkangel olsun ne biliim bi lord of the universe * olsun karizmatik, manalı bişi. armut ne lan? oh olsun bana, bu kafayla ayıya yem de olurum, fakirlikten ağzıma da sıçılır. * 

sonraki nesillere not: ben ettim siz etmeyin, adam gibi seçin niklerinizi.",armut,2008-09-10,13994248
asker yolcusu pek bir sevdiğim fırıldak cimnastikçi*..,rague,2008-12-14,14593300
"özellikle karadeniz civarında balı yapılan meyvelerden biri.

(bkz: armut balı)",kediye kafa atan mucahit fare2,2009-01-20,15124400
"altımış yaşındaki halamın, garaj girişine parketmiş araç sahibine çok sinirlenmesi üzerine, çantasından gözlüğünü, kalemini ve koca bir kağıt çıkarak büyük harflerle yazıp, ön cama yapıştırdığı küfürdür efendim armut.

(bkz: kufur etkisi yaratan ama kufur olmayan kelimeler)",sahrud,2009-03-02,15609433
"küçükken annemle bir anket yapmıştım. eski telefon defterinin sayfalarında duruyor hala. anket yapana kötü gözle bakılmadığı yıllardı. hatta birkaç yıl sonra anket defteri olmayanı dövmeye bile başladılar. 

-en sevdiğiniz meyve?
-üzüm.
-peki, en sevmediğiniz meyve? (küçükken de çok yaratıcıymışım.) 
-armut... hiç yemesem aramam.

o günden beri armuda karşı mesafeliyim. hiç yemesem aramam yani. zaten küfür olarak kullanılıyor daha çok. 

-en sevdiğiniz dizi?
-mavi ay.

fakat (bkz: absolut pears)",aggromela,2009-07-31,16585972
bence ismi hakaret olarak kullanilamayacak derece guzel tada sahip olan meyve. en azindan kayisi dururken armut hakaret objesi olmamali. hatta abartiyorum ama eger tadina yapiliyorsa bu benzetmeler cilegin iltifat nesnesi oldugu bu dunyada armutta bu iltifat yelpazesinde yer almalidir kanaatimce. sekle bakarak yorum yapiliyorsa seklide guzel be sozluk.,silvio,2009-08-24,16737563
"bu yediğini belirtmenin sakıncalı olduğu besingillerdendir yazık ki.. yani  dememek gerek çot diye, alıştıra alıştıra söylenebilir ama bence.. yani çot diye söylenirse yanlış anlaşılabilir, zamanlamanız yanlıştır, eşref ve eşşekten eşşek olan saate denk gelir.. ya da  tribal falan olur karşındaki, neme lazım.. ve ne gerek var.. 

hayat tecrübesi 1500: sevgili vs at siki..

s: kelebek ne yapıyorsun?
a: armut yiyorum canım. ham hum hum. naber?
s: !
a: ne oldu yahu?
s: nereden çıktı şimdi bu?
a: ney?
s: yani ben ayıyım, ben hiç incelik nedir bilmem, ben düşüncesizim, insanın hiç kafası meşgul olamaz mı, unutamaz mı.. abart istersen benle olduğun için pişman oduğunu söyle..
a: hoy?
s: tamam! aldım ben mesajı canım.. çok güzel ifade ettin.. konuşabilecek kadar sakinleştiğinde ya da ""medeni"" olduğumu tekrar düşündüğünde sen aramak istersin belki. çot! (telefonu yapatır)

çılgın sedattan gelsin: nelere katlandı bu yürek..",at sikine konan kelebek,2009-10-08,16999412
kumlu meyve.,menon,2009-10-20,17060749
ingilizcesi pear olan meyvedir.,mustee,2009-11-10,17227395
rosaceae (gülgiller) familyasındandır.,cikariyokmusgillerden,2009-11-18,17299528
hacminin %97'e kadar olan kısmının yenilebilir olmasıyla ön plana çıkar. kalan %3'ünü çekirdekleri ve çevresindeki tabaka oluşturur. evde yediğim zamanlar çöpe atmaya üşendiğimden genellikle o kısmını da çiğnemeden yutarım. sapını ise masanın üzerine koyarım. müsait bi ara atılır problem olmaz. çürümez.,retroloverdude,2009-11-26,17361018
sigaraya çok güzel eşlik ettiğini düşündüğüm meyve. eğer ki armut sulu ve sert ise yanında da marlboro kırmızı var ise tadından yenmez.,kayip cocuk,2009-12-15,17523904
"şaka gibi. biraz önce aldığım bir mail. okumaya ve aramaya üşenenler için özet: bu kış armut yemeyin.

subject: fw: onemli : armut

bize armutla ilgili aşağıdaki mail geldi ve araştırdım. ege ve uludağ ihracatçılar birliği duyuru ile olayı doğruluyor. gerisi size kalmış,sevgiler...

merhaba 
simdi sabah sabah sacma gelmesin.. ama dun bursa da ihracatcilar birliginde bir toplantiya gittim.. 
ortalikta bir ""armut"" geyigi donuyordu.. sorduk nedir diye.. sonra iş ciddileşti.. ve bize dediler ki 

sakin armut yemeyin ! 
deveci armutu basta.. eger kendi bahcenizde yetistirmediyseniz asla armut almayin ve bu kış ..unutun 
çünkü, şu anda piyasadaki mahsulun  tumunde bir tarim ilaci kullanilmis, yikanarak gecmeyen , içeri nufuz eden bir ilaçmis. yuksek oranda kanserojenmis. 

bu sebepten bu yil ihrac edilen armutun  tumu geri donmuş ve donuyormuş.. ve ihracatcilar birligi de bu problem ile ugrasiyormus.. tabii sinirleri oyle bozuk ki isi artik espriye vermisler.. 
ama resmen gozumuzun icine bakip "" cok ciddi "" eve gidin ve atin hepsini çöpe dediler... 

ben dun aksam gelir gelmez attim ve lal e de soyledim okulda vb. yemesin diye. 
sizinle de paylasmak istedim, direkt 1. agizdan aldigim bir bilgi olarak 

ege yaş meyve sebze ihracatçilari birliği duyurulari
konu armut ihracatı
tarih 22 ekim 2009 perşembe

________________________________________

sayın üyemiz,

dtm ihracat genel müdürlüğü'nden aldığımız 20.10.2009 tarih, 7218 sayılı yazıda, almanya'da yayımlanan die welt gazetesinde yer alan ""türk armutlarında tehlikeli zehir belirlendi."" başlıklı habere ilişkin berlin ticaret müşavirliği'nden aldıkları yazıda, söz konusu haberde özetle;

-baden württemberg eyaletinde yapılan kontrollerde ülkemiz armutlarında, almanya'da uzun yıllardan beri, avrupa birliği'nde ise 2008 yılı başından itibaren yasak olan ""amitraz"" isimli tarım ilacının tespit edildiği, 

-anılan ilaçta sınır değer 0,01 miligram iken, 8 örnekte tespit edilen değerin kiloda 15,7 miligram seviyesinde olduğu,

-bu değerlerdeki uygunsuzluğun önlemsiz bırakılmasının mümkün olmadığı ve federal almanya ve ab çapında önlem alınması için girişimde bulunulduğu,

-bulguların ab'nin hızlı alarm sistemi olan rassf'da da yayımlanacağı ve ilgililer hakkında hukuka aykırı işlem nedeniyle cezai ve idari soruşturma başlatılacağı

hususlarına yer verildiği belirtilerek, konunun üyelerimize duyurulması istenmektedir.

bilgileriniz rica olunur.

özlem katircioğlu 
genel sekreter yardımcısı",sipsak,2010-02-11,18158562
"bir koltuk çeşidi olarak da anılır günümüzde.

(bkz: armut koltuk)",discotheque geisha,2010-02-13,18182538
"an itibarıyla uzun zamandir yemedigim meyveydi.bugun arkadas alip armut yer misin? diye getirmese yine yemeyecektim muhtemelen.bi de simdiye kadar canim hic istememis.hani gidipte elma alayim,karpuz alayim,mandalina alayim diyorumda hic gidip te armut alayim demedim.demek ki bu da boyle bir meyveymis benim icin.",assassin 10,2010-03-06,18399137
"(bkz: city of angels)
meg ryan tarif etmişti bu meyveyi nicolas cage abimize.",absconditus,2010-03-31,18630723
"ılıman iklim kuşağında yetişen, genellikle yeşil ve sarı renklerde bulunan meyve,ayrıca argoda saf kişilik.",samet190,2010-07-05,19606640
(bkz: güz armudu),de nada,2010-11-20,20927724
"bir isyandır armut, hayata karşı dik duruşun bir rengi...

boşaltılmış kavramlarda boşaltılmış insanlık, insanların ağzında.
ya daha az değer yükleyerek boşaltmışlar, ya da daha fazla.
bir yansımadır armut insanlıktan nasibini almamış insanlara,
duyarlar bir insanın ağzından, fark edebilmiş olmanın hüznünün arkasındaki sinir ile,
bakar aynaya, armuda...

bir armuttur insan olabilmiş, kendine insan diyebilen armutların arasında.",taffy2g,2010-12-13,21145725
"bir tür dikensiz karpuz. yüksek yüksek, uzun gövdesi dalsız ağaçların tepesinde yetişir. dalları çürük olduğundan kendisine çürü-curu-culay geçişleriyle temmuz meyvesi de denir. 'temmuz'un da etimolojik kökeni itibariyle domuz sözcüğünden türemiş olması tamamen tesadüf değil, armudun iyisini ayılar yer sözünü boşa çıkarır niteliktedir. çünkü en iyisini domuzlar bilirler.",the first of the rest,2010-12-23,21249937
(bkz: #armut),ekşisözlük,2010-12-25,21291319
"ismi, gerizekalı insanlara hitap için kullanılan bir meyvedir.",macaroon,2011-02-07,22011419
"atasözlerimizi bir yana bırakıp yararlarına bakalım.
armut böbreklerin düzenli çalışmasını sağlar. idrarı bollaştırır. böbrek kum ve taşlarının dökülmesine yardım eder.
yüksek tansiyonu düşürür. kanı temizler, bütün salgı bezlerinin normal çalışmasını sağlar. kansızlığı giderir, kabızlığı önler. 
sinirleri yatıştırır. zihni yorgunluğu giderir. susuzluğu keser. tükürük ifrazatını artırır. hamilelerin kusmalarını azaltır. hazımsızlığı giderir. 
mafsal kireçlenmesi, nikris ve romatizmada faydalıdır. şeker hastaları da yiyebilir. midesi zayıf olanların kompostosunu içmeleri tavsiye edilir. 
yemeklerden önce yenecek olursa daha faydalı olur.",damaskrose,2011-03-07,22441828
"almancada, yoksulluk anlamına gelen sözcük",punctum,2011-03-07,22441898
"bu akşamki deneysel yemeğimin baş aktörü. tarifi veriyorum:

bir armutu küçük küpler halinde doğrayın.
yoğurtla karıştırarak bir tabağa alın.
üzerine %70-%85 lik çikolata rendeleyin.
mikrodalgada çikolata hafif eriyene kadar ısıtın.

afiyet bal şeker.",xae,2011-09-09,25294109
kalp-damar sağlığı açısından yararlıdır. aynı zamanda fiziksel performansa iyi gelen vitaminlere sahiptir. yüksek tansiyonu olanlara ve böbreklerinde sorun yaşayanlara tavsiye edilebilir ve  kansızlık ile kabızlığa iyi gelir.,erisaa,2011-10-01,25573160
"olunur.
gariptir. 
hayatın ağzının kenarında uzayan salyadaki yansınızı görürsünüz ve kendinizi ikram edersiniz, mesela bir psikoloğa. 
merhaba, armudum ben.
bakın nasıl da suluyum bir dilimleyin hele. 
şuralarıma vurabilirsiniz bıçağı, oralarım müsaittir bir güzel dilimlenmeye. 
neye tekabül eder armut olmak?
olgunlaşmaya mı?
gerçi o bir enstitü idi. 
gerizekâlılığa mı?
olunur; böyle salak, bön, şaşkın ve güvensiz. 
korku içinde, saçmalayarak. 
bazı memleketlerde armudu küçükken bir şişenin içine saklayıp dalında orada büyütüyorlarmış ve mesela yüksek alkollü bir içkinin keskin yakışıklılığı biraz onunla oluyormuş. 
velhasıl armut da bir şişenin içini içinde saklayıp yakışıklılığını bir ucuz sarhoşlukla değişen adama denirmiş.
nerede, kim bilir?",adbulmaknezoris,2011-11-11,26111844
sloganı tam isabetli olmuş sosyal medya.,dolaysiztumlec,2011-11-16,26179459
"az önce evden eve nakliyat için teklif istediğim site.. 48 saat içinde sonuçlandırılacak diyor, bakalım neler çıkacak..

edit: 800 tl'lik teklif buldular bana, ben hamal pazarından 200 tl'ye hallettim.. sloganlarını ""paran varsa ne rahat"" olarak değiştirebilirler..",caninho,2011-11-16,26179720
"""hizmet piş, ağzıma düş"" sloganıyla 15 kasım 2011'de hizmete giren yeni bir internet girişimi.

hizmet verenlerle hizmet almak isteyenleri, kolay şekilde buluşturmayı amaçlıyorlar. 
hizmet alanlar için kullanmak ücretsiz imiş, ödev yaptıracak birilerini de bulabilirler mi acaba*",hum 101,2011-11-18,26198421
"en çok haksızlığa uğrayan meyvelerden biri. şöyle kocaman, kütür kütür, sulu bir deveci armuduna kim hayır diyebilir?",dungangadunganga,2011-12-20,26633599
"koltuk olanı pek rahat, meyve olanı pek leziz, insan olanı ise pek bi sevilesidir.*",islakkedicorbasi,2012-01-18,27043124
"yanlış şekilde spam mail gönderen firma. anlıyorum piyasaya girmeye çalışıyosunuz ama benim mail adresime merhaba sinan bey diye mail atarsanız olmaz işte. neyse. site arayüzü hoş ama.

edit: mail gönderim fonksiyonlarında bazı problemlerden dolayı ortaya çıkmış bu problem. düzeltilmiş.",fullgigabyte,2012-03-15,27770092
"bir yok öyle kararlı şeyler şarkısı.

http://soundcloud.com/…ok-oyle-kararli-seyler-armut",eucarya,2012-07-22,29466479
frozen'ı muhteşem olan meyve. kavun ile yarışır bu konuda.,bajingo,2012-08-02,29625638
istisnasız bütün türlerinde çekirdek olan orta kısmıyla sapının arasında kalan etli bölgesi meyvenin geri kalanından daha şekerli ve daha az ekşidir. **,ev pandasi,2012-08-02,29625721
susamayı engelleyen meyve.,durumum yok alamiyorum,2012-08-20,29866977
"1 adeti 70 kalori olup elma benim iştahımı açıyor insanlarına diyetlerde önerilen meyvedir. ayrıca, nasıl bir ayı olduğum armudu bu kadar sevmemden de bellidir.",zipirinsan,2012-09-12,30172118
"nakliye ve boyacı arayışım kapsamında, teklif almayı denediğim site. kullanımı kolay ve anlaşılır. isteklerimi girdikten 10 dk sonra 4-5 teklif geldi, şaşakaldım. bu ya çok hızlı iletişim organizasyonu kurup hizmet verecek kişilere ulaştıklarını gösterir ya da benim isteğimin ayrıntılarını göz önüne almadan aynı fiyatları yapıştırdıklarını gösterir. çok fazla mail ve sms atıyorlar doğru ama işin acilse haberdar olmak da istiyorsun bir yandan. müşteri yorumlarına göre karar verip, bir boyacıyla telefon ile iletişime geçtim ve anlaştım, site üzerinden de teklifi kabul ettiğimi belirttim. site üzerinden mesajlaşmaya zorlamadan telefon ile iletişime geçmeye izin verilmesi kendilerine güvendiklerini gösterir. çünkü hizmet verenlerin de site üzerinde olumlu müşteri yorumlarına ihtiyaçları var.

garip gelen tek şey, isteğimi güncellediğimde hizmet verenlerden yeniden teklif almadan, varolan teklifleri kabul edebilmem. ayrıca nakliyecilere bir türlü fazla eşyam olmadığını anlatamadım yüksek fiyat çektiler.",ne diyeyim,2012-10-20,30647850
(bkz: amrut),gerry,2012-12-05,31197044
"kendilerine gelen komik talepleri, facebook profillerinde paylaşarak, insanların ne gibi enteresan isteklerinin olduğunu gösteren site. tabi bazen yanlış anlaşılmalara da sebeb olabiliyor.

suursuzkedi'nin, arkadaşının "" armut'ta sohbetleri ve talepleri kullanıcıların izni ile paylaşıyoruz."" uyarısını bana iletmesiyle, düzenlemeden önceki entry'me konu olan yanlış anlaşılmayı ortadan kaldırmış bulunuyoruz.",benden selam soyleyin,2012-12-07,31217403
"yıllar içerisinde morfolojisi değişmiş ve uzaylı olmuş bir meyve. eskiden armut dediğin küçük sulu ve tatlı olurdu, bir tanesi üç ısırıkta filan biterdi. 3 gündür sürekli iş yerine yeme amaçlı getirip aynen geri götürdüğüm yaklaşık hentbol topu büyüklüğünde bir armut var, kendisine her bakışta ""bu nasıl yenir ki?"" diyip vaz geçiyorum.",manech,2013-01-02,31561334
"isimden kaybeden sitedir. slogandan yola çıkarak isim bulunmuş havası var gibi, ama kurtarmamış.

fikir güzel, ancak türkiye şartlarında fayans ustasının, marangozun, alçıpancının falan vereceği hizmetleri ""armut.com'a gireyim de bi bakayım"" diyerek bulmak/almak isteyecek insan sayısını sorgulattı bana.

yolları açık olsun, umarım planladıkları noktaya ulaşabilirler.",the god fadil,2013-01-22,31841685
bir renk olarak armut dendiginde bunun agacinin rengini anlamamiz gerekiyormus. hani kafanizda beyaz/sari bir sey canlanir da sonra kahverengi/kirmizi oldugunu gorunce dumur olursunuz diye ben simdiden uyarmis olayim.,layouter,2013-03-19,32756240
"dişlerinin arasında etince, yumuşaklığınca kadın bir armudun teni;
ağzına dolan suyu ve kokusu, çocukluğundaki neşeli şarkılardan mırıldanır gibi uzanıyor aklına boğazından geçerken.

damağındaki tatlı su, kana kana içilmiş suları gibi pınarların. 
hani rengi hafif maviye çalan, kuş seslerinin berraklığı gölgelerle üstüne eğilmiş ve kulağına sakinliğin ölümsüz, zamansız sırlarını fısıldamış gibi dingin pınarları vardır ya anadolunun; işte öyle bir köydeki öyle bir pınardan içmişsin gibi sanki.

pantolonun dizinden ve poposundan yırtılmış. 
ee; kolay değil koskoca adamın duvarın üstündeki telleri aşıp bilmediği bir evin bahçesine girmesi.
bilmediği derken; bir hırsızlıktan bahseder gibi anlaşılmamalı hikaye. çünkü göz hakkı vardır anadoluda; küçük yerlerin birbirini kardeş bilen, akraba bilen samimiyeti bir de.

neden istemedin peki kapıyı çalıp? 
evde kimse yok ki. bu mevsimde herkes tarlada, işinde gücünde. ağaçların gölgeleri arasından yürürken suyun sesi, kavakların serin uğultusu başın iki yanında seyrine doyulmaz bir huzuru sergilerken bir galerinin ölmüş duvarlarının haddine olmayan bir içtenlikle; gözün ilişiverdi işte. 

öyle pazarda satılanlar gibi değil. yalnız birkaç küçük köyde bulabileceğin; tarlaların ortasında yalnız başına bir ömrü adımlayan ve yalnızlığından eşi benzeri bulunmaz lezzetler demleyen birkaç ağaçtan biri işte bu da. 
evin beyi sever böyle şeyleri. bahçesine sokuşturduğu bir iki erik dalı, bir iki elma fidanı, vişneler ve bu tutmaz ama ya tutarsa diye getirilip dikilen armudun dalı.

tutmuş işte.
emekle hangi yapışmaz ve yakışmaz parçaları tutmuyor ki hayatın?
toprak cömertliğince ve sabrınca kucakladığında bıçak gibi göğsüne saplanan acıları; hangi direnç eğilmiyor ki önünde?..

atlarken dikkatliydin de epeyce. ama nasıl bir lezzetse işte; çıkarken saldın aklının temkinini.
kaçamak ve coşkulu bir arzuyla, usulca sokuldun ağacın altına. ellerin dalların arasında ustalaşmış bir özenle ilerledi. güneşin uzanıp yüzüne kadar, gölgesini gözünde büyüttüğü ve yakındaki bir armudu kopardın usulca.

elinle ovaladın önce; ne de olsa unuttun köyde olmayı. şehirde köylü olamasan da köyde şehirli olmaktan alamadın kendini bir an.
önce baktın. güzelliğine, içinde sakladığı ıslak ve baştan çıkaran tadı duyumsar gibi oldun daha ısırmadan. 
sonra dünyanın ondan öncesi ve sonrası yok oldu. o an o armuda dokunan dudakların ve dişlerin, neredeyse sevişmekle kıyaslanacak kadar güzel bir hazzı dokudu damağına…
*",paranoyaklar takip edilmiyor mu sanki,2013-03-27,32920434
